threshold,net_profit_M,approval_rate,TP,FP,FN,TN,revenue_M,opp_cost_M,loan_loss_M,opex_M
0.6336363636363637,-3955.0320234449123,0.9980098272907311,406,206,24419,282480,5922.450253890332,1.850990339090618,9507.950326428792,367.6809605673602
0.6435353535353535,-4030.9813318955994,0.9990471885558565,203,90,24622,282596,5924.882299449136,0.8086850996026971,9586.99180708996,368.06313915517245
0.6534343434343434,-4030.9813318955994,0.9990471885558565,203,90,24622,282596,5924.882299449136,0.8086850996026971,9586.99180708996,368.06313915517245
0.6633333333333333,-4030.9813318955994,0.9990471885558565,203,90,24622,282596,5924.882299449136,0.8086850996026971,9586.99180708996,368.06313915517245
0.6732323232323232,-4071.276612843802,0.9995642432303234,96,38,24729,282648,5925.972526768601,0.3414448198322499,9628.654065369492,368.2536294230789
0.6831313131313131,-4071.276612843802,0.9995642432303234,96,38,24729,282648,5925.972526768601,0.3414448198322499,9628.654065369492,368.2536294230789
0.693030303030303,-4071.276612843802,0.9995642432303234,96,38,24729,282648,5925.972526768601,0.3414448198322499,9628.654065369492,368.2536294230789
0.702929292929293,-4103.801328523823,0.9999642289218922,10,1,24815,282685,5926.748265438219,0.008985389995585524,9662.13961875304,368.4009898190065
0.7128282828282828,-4103.801328523823,0.9999642289218922,10,1,24815,282685,5926.748265438219,0.008985389995585524,9662.13961875304,368.4009898190065
0.7227272727272727,-4103.801328523823,0.9999642289218922,10,1,24815,282685,5926.748265438219,0.008985389995585524,9662.13961875304,368.4009898190065
0.7326262626262626,-4103.801328523823,0.9999642289218922,10,1,24815,282685,5926.748265438219,0.008985389995585524,9662.13961875304,368.4009898190065
0.7425252525252525,-4103.801328523823,0.9999642289218922,10,1,24815,282685,5926.748265438219,0.008985389995585524,9662.13961875304,368.4009898190065
0.7524242424242424,-4104.944270131263,0.9999772365866587,7,0,24818,282686,5926.769231348208,0.0,9663.307719452467,368.4057820270042
0.7623232323232323,-4104.944270131263,0.9999772365866587,7,0,24818,282686,5926.769231348208,0.0,9663.307719452467,368.4057820270042
0.7722222222222221,-4104.944270131263,0.9999772365866587,7,0,24818,282686,5926.769231348208,0.0,9663.307719452467,368.4057820270042
0.7821212121212121,-4104.944270131263,0.9999772365866587,7,0,24818,282686,5926.769231348208,0.0,9663.307719452467,368.4057820270042
0.792020202020202,-4104.944270131263,0.9999772365866587,7,0,24818,282686,5926.769231348208,0.0,9663.307719452467,368.4057820270042
0.8019191919191919,-4104.944270131263,0.9999772365866587,7,0,24818,282686,5926.769231348208,0.0,9663.307719452467,368.4057820270042
0.8118181818181818,-4104.944270131263,0.9999772365866587,7,0,24818,282686,5926.769231348208,0.0,9663.307719452467,368.4057820270042
0.8217171717171717,-4104.944270131263,0.9999772365866587,7,0,24818,282686,5926.769231348208,0.0,9663.307719452467,368.4057820270042
0.8316161616161616,-4104.944270131263,0.9999772365866587,7,0,24818,282686,5926.769231348208,0.0,9663.307719452467,368.4057820270042
0.8415151515151514,-4104.944270131263,0.9999772365866587,7,0,24818,282686,5926.769231348208,0.0,9663.307719452467,368.4057820270042
0.8514141414141414,-4104.944270131263,0.9999772365866587,7,0,24818,282686,5926.769231348208,0.0,9663.307719452467,368.4057820270042
0.8613131313131313,-4104.944270131263,0.9999772365866587,7,0,24818,282686,5926.769231348208,0.0,9663.307719452467,368.4057820270042
0.8712121212121212,-4104.944270131263,0.9999772365866587,7,0,24818,282686,5926.769231348208,0.0,9663.307719452467,368.4057820270042
0.8811111111111111,-4104.944270131263,0.9999772365866587,7,0,24818,282686,5926.769231348208,0.0,9663.307719452467,368.4057820270042
0.891010101010101,-4104.944270131263,0.9999772365866587,7,0,24818,282686,5926.769231348208,0.0,9663.307719452467,368.4057820270042
0.9009090909090909,-4104.944270131263,0.9999772365866587,7,0,24818,282686,5926.769231348208,0.0,9663.307719452467,368.4057820270042
0.9108080808080807,-4104.944270131263,0.9999772365866587,7,0,24818,282686,5926.769231348208,0.0,9663.307719452467,368.4057820270042
0.9207070707070707,-4104.944270131263,0.9999772365866587,7,0,24818,282686,5926.769231348208,0.0,9663.307719452467,368.4057820270042
0.9306060606060605,-4104.944270131263,0.9999772365866587,7,0,24818,282686,5926.769231348208,0.0,9663.307719452467,368.4057820270042
0.9405050505050505,-4104.944270131263,0.9999772365866587,7,0,24818,282686,5926.769231348208,0.0,9663.307719452467,368.4057820270042
0.9504040404040404,-4104.944270131263,0.9999772365866587,7,0,24818,282686,5926.769231348208,0.0,9663.307719452467,368.4057820270042
0.9603030303030302,-4104.944270131263,0.9999772365866587,7,0,24818,282686,5926.769231348208,0.0,9663.307719452467,368.4057820270042
0.9702020202020202,-4104.944270131263,0.9999772365866587,7,0,24818,282686,5926.769231348208,0.0,9663.307719452467,368.4057820270042
0.98010101010101,-4104.944270131263,0.9999772365866587,7,0,24818,282686,5926.769231348208,0.0,9663.307719452467,368.4057820270042
0.99,-4104.944270131263,0.9999772365866587,7,0,24818,282686,5926.769231348208,0.0,9663.307719452467,368.4057820270042
